sk_cliente,id_cliente,nome_cliente,segmento_cliente,canal_aquisicao,uf_cliente,data_cadastro,faixa_etaria,ativo
590,CLI00590,Srta. Luana da Costa,PJ - Frota Pequena,Fidelização,MG,2021-03-28,26-35,True
591,CLI00591,Catarina Fernandes,PF - Premium,Digital,PR,2023-01-03,46-55,True
592,CLI00592,Isabel Rocha,PF - Premium,Digital,SP,2021-05-15,36-45,True
593,CLI00593,Joaquim Barbosa,PF - Varejo,Fidelização,RJ,2023-06-19,26-35,True
594,CLI00594,Sra. Alice Nunes,PF - Varejo,Recall,RS,2023-06-20,26-35,True
595,CLI00595,Dr. Leandro Viana,PF - Varejo,Digital,RJ,2023-03-03,36-45,True
596,CLI00596,Raquel Novais,PF - Premium,Digital,SP,2021-01-02,56+,True
597,CLI00597,Noah Leão,PF - Varejo,Showroom,SP,2023-04-09,36-45,True
598,CLI00598,Sr. Rafael da Rosa,PF - Varejo,Digital,ES,2022-03-26,36-45,True
599,CLI00599,Guilherme Mendonça,PF - Varejo,Indicação,RJ,2022-11-03,26-35,True
600,CLI00600,Natália Carvalho,PF - Varejo,Showroom,MG,2021-06-16,26-35,True
601,CLI00601,Gabrielly Santos,PJ - Frota Grande,Indicação,PE,2023-02-07,26-35,True
602,CLI00602,Brayan Dias,PJ - Frota Pequena,Recall,GO,2021-11-18,56+,True
603,CLI00603,Dr. Benjamim Viana,PF - Varejo,CRM Ativo,RJ,2023-01-19,36-45,True
604,CLI00604,Camila Carvalho,PF - Varejo,Digital,SP,2022-03-29,36-45,True
605,CLI00605,Carlos Eduardo Carvalho,PF - Premium,Showroom,GO,2021-03-26,36-45,True
606,CLI00606,Daniela Rios,PF - Varejo,Digital,SP,2021-08-21,18-25,True
607,CLI00607,Sra. Esther Rios,PF - Varejo,Digital,ES,2022-11-01,36-45,True
608,CLI00608,Jade Vieira,PF - Varejo,Recall,SP,2021-08-18,36-45,True
609,CLI00609,Lucas Pastor,PF - Premium,Digital,RJ,2023-05-11,56+,True
610,CLI00610,Dr. Gustavo Carvalho,PJ - Frota Pequena,Recall,PR,2022-10-29,36-45,True
611,CLI00611,Caleb Ramos,PF - Varejo,Digital,SP,2022-01-04,36-45,True
612,CLI00612,Ravi Brito,PF - Premium,Indicação,ES,2022-06-14,56+,True
613,CLI00613,Gael Cardoso,PJ - Frota Pequena,Digital,DF,2021-12-24,26-35,True
614,CLI00614,Sr. Isaac Lima,PJ - Frota Pequena,Indicação,CE,2021-03-22,26-35,True
615,CLI00615,Luana Casa Grande,PJ - Frota Pequena,CRM Ativo,SP,2021-10-10,36-45,True
616,CLI00616,Olivia da Paz,PJ - Frota Grande,Digital,DF,2022-09-20,36-45,True
617,CLI00617,Pedro Ferreira,PF - Varejo,Digital,SP,2022-09-11,46-55,True
618,CLI00618,Gabriel Melo,PF - Varejo,Digital,MG,2022-08-15,36-45,True
619,CLI00619,Dom Fernandes,PJ - Frota Pequena,CRM Ativo,RJ,2022-07-22,46-55,True
620,CLI00620,Bento Vargas,PJ - Frota Pequena,Recall,PE,2022-08-30,26-35,True
621,CLI00621,Sophie da Cruz,PF - Varejo,Fidelização,MG,2022-08-24,46-55,True
622,CLI00622,Joaquim Castro,PJ - Frota Pequena,Indicação,SC,2021-02-25,36-45,True
623,CLI00623,Theo da Rosa,PF - Premium,Recall,PE,2022-09-11,18-25,True
624,CLI00624,Larissa Sousa,PF - Varejo,Showroom,BA,2022-01-27,46-55,True
625,CLI00625,Mariane Nascimento,PF - Varejo,Digital,RJ,2022-02-28,46-55,True
626,CLI00626,Ian da Mota,PF - Varejo,Indicação,PE,2021-10-06,18-25,True
627,CLI00627,Manuela da Luz,PJ - Frota Grande,Showroom,GO,2021-12-16,26-35,True
628,CLI00628,Jade Gonçalves,PF - Varejo,Showroom,GO,2021-07-24,46-55,True
629,CLI00629,João Pedro Barros,PF - Varejo,Showroom,CE,2023-06-28,36-45,True
630,CLI00630,Camila Dias,PJ - Frota Pequena,Fidelização,PR,2022-09-21,18-25,True
631,CLI00631,Eduarda Ribeiro,PF - Varejo,Indicação,RJ,2021-07-07,36-45,True
632,CLI00632,Gustavo Macedo,PF - Varejo,Digital,SP,2022-09-02,46-55,True
633,CLI00633,Davi Abreu,PJ - Frota Grande,Indicação,PE,2021-06-19,36-45,True
634,CLI00634,Maria Clara Aparecida,PF - Varejo,Indicação,MG,2023-01-15,46-55,True
635,CLI00635,Bryan Martins,PJ - Frota Pequena,Indicação,SP,2022-05-26,36-45,True
636,CLI00636,Maria Liz Siqueira,PF - Varejo,Indicação,RJ,2021-06-17,46-55,True
637,CLI00637,Ana Clara Martins,PJ - Frota Grande,Digital,SC,2023-05-29,26-35,True
638,CLI00638,Gabriela Machado,PF - Varejo,Indicação,RS,2021-03-26,56+,True
639,CLI00639,José Moraes,PF - Premium,Digital,RS,2022-02-23,26-35,True
640,CLI00640,Dra. Ana Vitória Albuquerque,PJ - Frota Pequena,Digital,MG,2022-01-19,36-45,True
641,CLI00641,Sra. Natália Aparecida,PF - Premium,Indicação,RS,2021-06-06,26-35,True
642,CLI00642,Diego Freitas,PJ - Frota Pequena,Fidelização,GO,2022-06-07,36-45,True
643,CLI00643,Srta. Agatha Duarte,PF - Premium,Indicação,CE,2022-10-19,26-35,True
644,CLI00644,Thomas Alves,PF - Varejo,Digital,SP,2021-09-30,36-45,True
645,CLI00645,Ana Lívia Pacheco,PF - Varejo,Showroom,RJ,2023-04-15,18-25,True
646,CLI00646,Noah Duarte,PF - Premium,Indicação,SP,2023-03-06,46-55,True
647,CLI00647,Diogo Santos,PF - Varejo,Fidelização,SP,2021-10-09,26-35,True
648,CLI00648,Heloisa Campos,PJ - Frota Pequena,Digital,SP,2021-01-18,26-35,True
649,CLI00649,Dr. Marcos Vinicius Moraes,PF - Varejo,Fidelização,RJ,2021-12-29,46-55,True
650,CLI00650,Ana Cecília da Paz,PJ - Frota Pequena,Digital,SC,2022-06-13,26-35,True
651,CLI00651,Cecilia Vasconcelos,PJ - Frota Grande,Indicação,RS,2022-07-29,36-45,True
652,CLI00652,Agatha da Conceição,PF - Varejo,Recall,BA,2022-05-20,18-25,True
653,CLI00653,Letícia da Conceição,PF - Varejo,Showroom,RS,2021-02-27,56+,True
654,CLI00654,Srta. Sofia Teixeira,PJ - Frota Pequena,CRM Ativo,BA,2023-06-19,26-35,True
655,CLI00655,Brayan Nogueira,PF - Varejo,Showroom,RS,2023-04-04,18-25,True
656,CLI00656,Dr. Yan Casa Grande,PF - Varejo,CRM Ativo,MG,2022-02-03,36-45,True
657,CLI00657,Ryan Barbosa,PF - Varejo,Indicação,RJ,2022-05-13,26-35,True
658,CLI00658,Sra. Alícia Montenegro,PF - Varejo,Showroom,RJ,2021-08-06,46-55,True
659,CLI00659,Sr. Nathan Rocha,PJ - Frota Pequena,Indicação,RS,2021-06-27,36-45,True
660,CLI00660,Vitor Hugo Azevedo,PJ - Frota Pequena,Indicação,RS,2021-07-13,36-45,True
661,CLI00661,Vicente Rocha,PF - Varejo,Indicação,RS,2022-01-24,46-55,True
662,CLI00662,Dra. Heloísa Freitas,PF - Varejo,Recall,RJ,2022-07-02,46-55,True
663,CLI00663,João Lucas Pereira,PF - Varejo,Fidelização,RJ,2023-01-20,26-35,True
664,CLI00664,Giovanna Gomes,PF - Varejo,Indicação,MG,2021-10-31,26-35,True
665,CLI00665,Maria Clara Carvalho,PJ - Frota Pequena,Indicação,RJ,2022-11-03,26-35,True
666,CLI00666,Isaac Cavalcante,PF - Varejo,Indicação,RJ,2022-05-31,36-45,True
667,CLI00667,Hellena da Rosa,PF - Varejo,Digital,PR,2021-08-31,18-25,True
668,CLI00668,Lorena Nascimento,PF - Varejo,CRM Ativo,MG,2021-02-06,36-45,True
669,CLI00669,Ravy das Neves,PF - Varejo,Showroom,CE,2023-01-12,36-45,True
670,CLI00670,Maria Luísa Nascimento,PJ - Frota Grande,Indicação,SP,2022-08-04,46-55,True
671,CLI00671,Cauê Gonçalves,PJ - Frota Pequena,Indicação,SP,2022-12-11,18-25,True
672,CLI00672,Marina Fernandes,PF - Varejo,Showroom,MG,2023-04-09,26-35,True
673,CLI00673,Manuela Vargas,PF - Varejo,Indicação,RJ,2021-12-12,36-45,True
674,CLI00674,Dr. Gael Vasconcelos,PJ - Frota Grande,Fidelização,SP,2021-03-05,56+,True
675,CLI00675,Liz Gonçalves,PJ - Frota Pequena,Showroom,MG,2021-03-11,36-45,True
676,CLI00676,Bella Rodrigues,PF - Varejo,Indicação,SP,2021-11-20,26-35,True
677,CLI00677,Dr. Benício da Luz,PF - Varejo,Showroom,MG,2021-05-14,18-25,True
678,CLI00678,Bryan Pinto,PJ - Frota Grande,CRM Ativo,CE,2021-08-19,56+,True
679,CLI00679,Lucas Gabriel Peixoto,PF - Premium,CRM Ativo,SP,2022-05-05,26-35,True
680,CLI00680,Maria Isis Garcia,PF - Varejo,Indicação,SP,2021-08-09,36-45,True
681,CLI00681,Kamilly Pacheco,PJ - Frota Pequena,Recall,SP,2021-01-30,46-55,True
682,CLI00682,Eduardo Cavalcanti,PF - Premium,Digital,RS,2022-01-14,26-35,True
683,CLI00683,Srta. Maria Clara Machado,PF - Varejo,Fidelização,RJ,2022-08-31,36-45,True
684,CLI00684,Maria Júlia Gomes,PJ - Frota Pequena,Showroom,SP,2022-12-07,26-35,True
685,CLI00685,Mariana Souza,PF - Varejo,Recall,MG,2022-04-17,26-35,True
686,CLI00686,Bianca Cardoso,PJ - Frota Grande,Digital,SP,2022-05-16,36-45,True
687,CLI00687,Francisco Sampaio,PF - Premium,Indicação,SP,2021-11-05,46-55,True
688,CLI00688,Mateus Silveira,PF - Varejo,Digital,MG,2023-02-27,18-25,True
689,CLI00689,Henrique Farias,PF - Varejo,Digital,SP,2021-07-13,18-25,True
690,CLI00690,Luiz Miguel Fonseca,PJ - Frota Pequena,CRM Ativo,CE,2022-10-24,46-55,True
691,CLI00691,Bianca Sampaio,PF - Varejo,CRM Ativo,SP,2021-08-19,56+,True
692,CLI00692,Léo Fonseca,PJ - Frota Grande,Showroom,ES,2021-05-26,36-45,True
693,CLI00693,Heitor Guerra,PF - Varejo,Digital,PR,2022-07-06,18-25,True
694,CLI00694,Maria Júlia Sousa,PF - Premium,CRM Ativo,SP,2022-05-30,46-55,True
695,CLI00695,Gabriela da Cruz,PJ - Frota Grande,CRM Ativo,ES,2022-02-18,36-45,True
696,CLI00696,Francisco Rios,PJ - Frota Grande,Showroom,SP,2021-12-03,36-45,True
697,CLI00697,Caroline Barbosa,PJ - Frota Pequena,Indicação,RS,2021-11-03,36-45,True
698,CLI00698,Sr. Heitor Fonseca,PF - Varejo,Recall,CE,2022-10-01,36-45,True
699,CLI00699,Sr. Igor Fonseca,PF - Varejo,Indicação,RJ,2021-10-21,56+,True
700,CLI00700,Dr. Lucas Gabriel Pastor,PF - Varejo,Recall,SP,2021-04-24,26-35,True
701,CLI00701,Raul Correia,PJ - Frota Pequena,Showroom,SP,2021-12-15,36-45,True
702,CLI00702,Dr. Alexandre Mendonça,PF - Varejo,Digital,RS,2022-10-20,26-35,True
703,CLI00703,Benicio Farias,PF - Varejo,Digital,SC,2023-05-31,56+,True
704,CLI00704,Sra. Mirella Câmara,PF - Varejo,Showroom,RJ,2022-09-18,36-45,True
705,CLI00705,Marcela Siqueira,PJ - Frota Pequena,Fidelização,PE,2021-08-15,36-45,True
706,CLI00706,Vitor Moreira,PF - Varejo,Showroom,SP,2023-03-07,36-45,True
707,CLI00707,Helena Rios,PF - Varejo,Showroom,SP,2022-04-02,26-35,True
708,CLI00708,Pietra Sá,PJ - Frota Grande,Indicação,MG,2021-01-15,26-35,True
709,CLI00709,Srta. Sarah Pastor,PF - Varejo,Indicação,SP,2022-11-01,46-55,True
710,CLI00710,Aurora Farias,PF - Varejo,CRM Ativo,PR,2022-05-14,36-45,True
711,CLI00711,Ana Vitória Machado,PF - Premium,Digital,CE,2023-02-10,26-35,True
712,CLI00712,Arthur Marques,PF - Varejo,Fidelização,PE,2022-06-20,56+,True
713,CLI00713,Lívia Alves,PF - Varejo,Showroom,MG,2021-01-30,36-45,True
714,CLI00714,Hellena Gomes,PF - Varejo,Recall,SP,2022-02-20,26-35,True
715,CLI00715,Marina Gonçalves,PJ - Frota Pequena,Indicação,SP,2021-06-10,18-25,True
716,CLI00716,Dra. Marina Nogueira,PJ - Frota Grande,Digital,RJ,2022-07-09,46-55,True
717,CLI00717,Anthony Pastor,PJ - Frota Pequena,Digital,BA,2023-01-16,46-55,True
718,CLI00718,Dom da Luz,PF - Premium,Indicação,DF,2022-02-28,36-45,True
719,CLI00719,Maysa Leão,PF - Varejo,Digital,SP,2021-12-23,26-35,True
720,CLI00720,Dra. Isadora Fernandes,PJ - Frota Pequena,Indicação,RJ,2023-06-12,36-45,True
721,CLI00721,Henry Borges,PF - Varejo,CRM Ativo,SP,2022-03-04,26-35,True
722,CLI00722,Ester Ferreira,PF - Varejo,Indicação,SP,2022-02-20,46-55,True
723,CLI00723,Elisa Pereira,PJ - Frota Grande,Indicação,RS,2021-10-11,46-55,True
724,CLI00724,Otávio Porto,PJ - Frota Pequena,Digital,RJ,2023-03-23,26-35,True
725,CLI00725,Sara da Mata,PJ - Frota Pequena,Fidelização,SP,2021-04-29,26-35,True
726,CLI00726,Dra. Aylla Moura,PJ - Frota Grande,Fidelização,ES,2022-03-06,46-55,True
727,CLI00727,Otto Aparecida,PF - Varejo,Recall,RS,2023-03-28,18-25,True
728,CLI00728,Heloisa Mendes,PF - Premium,Showroom,SP,2022-04-07,46-55,True
729,CLI00729,Matheus Rezende,PF - Premium,CRM Ativo,SP,2022-08-01,26-35,True
730,CLI00730,Ana Clara Almeida,PF - Premium,Digital,BA,2022-08-24,46-55,True
731,CLI00731,Bryan Moraes,PF - Varejo,Digital,MG,2023-06-26,26-35,True
732,CLI00732,Sra. Heloisa Cassiano,PJ - Frota Grande,Fidelização,BA,2022-12-12,46-55,True
733,CLI00733,Letícia Costa,PF - Varejo,CRM Ativo,BA,2023-01-25,46-55,True
734,CLI00734,Maria Luísa Santos,PJ - Frota Pequena,Digital,GO,2022-07-28,26-35,True
735,CLI00735,Asafe Siqueira,PF - Varejo,Digital,ES,2022-09-10,46-55,True
736,CLI00736,Leonardo Moreira,PJ - Frota Pequena,Showroom,PR,2021-07-05,56+,True
737,CLI00737,Marcos Vinicius Fonseca,PF - Varejo,Digital,SP,2022-06-24,46-55,True
738,CLI00738,Stella Caldeira,PJ - Frota Pequena,Digital,SP,2022-12-27,46-55,True
739,CLI00739,Alexandre Cardoso,PF - Varejo,Showroom,ES,2021-08-16,36-45,True
740,CLI00740,Dr. André Cardoso,PF - Varejo,Showroom,GO,2021-03-04,36-45,True
741,CLI00741,Brayan Porto,PJ - Frota Grande,Indicação,MG,2022-02-22,46-55,True
742,CLI00742,Alexia Souza,PJ - Frota Pequena,Indicação,GO,2022-05-08,36-45,True
743,CLI00743,Lorenzo Novaes,PF - Varejo,Indicação,DF,2021-07-22,26-35,True
744,CLI00744,Benjamim da Costa,PF - Varejo,Digital,DF,2021-11-29,36-45,True
745,CLI00745,Ana Julia Melo,PJ - Frota Pequena,Digital,RS,2023-02-03,36-45,True
746,CLI00746,Antonella Teixeira,PJ - Frota Pequena,Fidelização,SP,2021-04-25,36-45,True
747,CLI00747,Yuri Freitas,PF - Varejo,Digital,RJ,2021-07-26,26-35,True
748,CLI00748,Dr. Luan Pacheco,PF - Varejo,Recall,RJ,2021-02-21,46-55,True
749,CLI00749,Mirella Sampaio,PF - Varejo,Indicação,CE,2023-04-26,26-35,True
750,CLI00750,Kaique Nascimento,PF - Varejo,Showroom,RJ,2022-12-22,18-25,True
751,CLI00751,Leandro Campos,PF - Varejo,CRM Ativo,RS,2021-01-10,36-45,True
752,CLI00752,Lucas Gabriel Montenegro,PF - Premium,Indicação,RJ,2022-04-21,46-55,True
753,CLI00753,Dr. Luiz Miguel Brito,PF - Varejo,Digital,SP,2022-06-17,36-45,True
754,CLI00754,Bernardo Viana,PJ - Frota Grande,Indicação,MG,2021-04-22,26-35,True
755,CLI00755,Dr. Lucas Gabriel Melo,PJ - Frota Grande,Indicação,RJ,2022-11-29,46-55,True
756,CLI00756,Daniel da Rocha,PJ - Frota Pequena,Digital,RJ,2022-01-25,36-45,True
757,CLI00757,Ana Julia Sousa,PF - Varejo,Indicação,MG,2021-10-06,26-35,True
758,CLI00758,Igor da Luz,PF - Varejo,Showroom,ES,2021-11-18,36-45,True
759,CLI00759,Srta. Ana Clara Novaes,PF - Varejo,Indicação,PE,2022-03-07,26-35,True
760,CLI00760,José Correia,PF - Varejo,Recall,RS,2021-05-24,36-45,True
761,CLI00761,Julia Brito,PF - Varejo,Indicação,ES,2023-01-19,26-35,True
762,CLI00762,Ana Liz Costela,PF - Premium,Showroom,PR,2023-06-21,26-35,True
763,CLI00763,Ana Siqueira,PF - Varejo,Recall,DF,2022-09-27,56+,True
764,CLI00764,Ravi Pires,PF - Varejo,Indicação,PE,2021-07-06,46-55,True
765,CLI00765,João Felipe Nunes,PJ - Frota Pequena,Indicação,PR,2023-05-11,46-55,True
766,CLI00766,Daniel Andrade,PF - Premium,Digital,SP,2022-10-31,36-45,True
767,CLI00767,Srta. Aylla Cassiano,PF - Varejo,Digital,PE,2021-09-28,36-45,True
768,CLI00768,Arthur Gabriel Borges,PJ - Frota Pequena,Indicação,RS,2022-07-09,56+,True
769,CLI00769,Laura Cavalcante,PF - Varejo,Indicação,MG,2022-01-06,18-25,True
770,CLI00770,Yago Sales,PJ - Frota Pequena,Fidelização,MG,2021-04-30,26-35,True
771,CLI00771,Isaac das Neves,PF - Varejo,Showroom,SP,2023-03-13,36-45,True
772,CLI00772,Fernanda Brito,PF - Premium,Recall,SP,2022-03-26,46-55,True
773,CLI00773,Srta. Ana Laura Melo,PF - Varejo,Indicação,DF,2021-12-13,46-55,True
774,CLI00774,Srta. Maria Alice Gomes,PF - Varejo,Indicação,SP,2022-03-21,26-35,True
775,CLI00775,Jade Moura,PF - Varejo,Indicação,MG,2021-05-25,46-55,True
776,CLI00776,Luiz Felipe Moura,PF - Premium,Showroom,SP,2021-08-03,56+,True
777,CLI00777,Dr. Lucca Costa,PJ - Frota Pequena,Fidelização,GO,2022-03-14,56+,True
778,CLI00778,Isabela Farias,PF - Premium,Indicação,PR,2022-07-01,46-55,True
779,CLI00779,Guilherme da Paz,PJ - Frota Pequena,Digital,SP,2021-01-30,26-35,True
780,CLI00780,Lavínia Pereira,PJ - Frota Grande,Recall,MG,2022-09-06,26-35,True
781,CLI00781,Dra. Ana Liz da Rocha,PF - Varejo,Fidelização,RS,2021-03-03,46-55,True
782,CLI00782,Sr. Luan Barbosa,PF - Varejo,Recall,SP,2022-02-22,46-55,True
783,CLI00783,Heloísa Nunes,PF - Varejo,Digital,RS,2022-12-09,56+,True
784,CLI00784,Raquel Garcia,PF - Varejo,Fidelização,RJ,2022-04-27,36-45,True
785,CLI00785,Vitor Hugo Cassiano,PF - Varejo,Digital,MG,2022-09-05,18-25,True
786,CLI00786,Dr. Brayan Guerra,PF - Varejo,CRM Ativo,SP,2021-03-12,46-55,True
787,CLI00787,Luiz Miguel Mendonça,PF - Varejo,Showroom,SP,2021-11-06,26-35,True
788,CLI00788,Vinícius Vasconcelos,PF - Varejo,Indicação,SP,2021-09-09,36-45,True
789,CLI00789,Srta. Maria Cecília Pinto,PJ - Frota Pequena,Fidelização,RS,2021-10-30,26-35,True
790,CLI00790,Davi Luiz Almeida,PF - Varejo,Digital,SP,2023-02-24,36-45,True
791,CLI00791,Carlos Eduardo Moura,PF - Premium,Digital,RJ,2021-05-15,46-55,True
792,CLI00792,Srta. Olivia Nogueira,PJ - Frota Pequena,Digital,SC,2022-10-16,56+,True
793,CLI00793,Evelyn Santos,PF - Varejo,Digital,MG,2021-05-05,56+,True
794,CLI00794,Isis Teixeira,PJ - Frota Pequena,Indicação,RJ,2022-08-20,36-45,True
795,CLI00795,Dr. Dom Barbosa,PF - Premium,Indicação,DF,2021-12-29,36-45,True
796,CLI00796,Bryan Caldeira,PJ - Frota Pequena,Fidelização,BA,2021-04-04,36-45,True
797,CLI00797,Asafe Melo,PF - Premium,Indicação,RS,2023-05-27,26-35,True
798,CLI00798,Diego Costela,PF - Premium,Indicação,SP,2021-01-18,26-35,True
799,CLI00799,Anna Liz Ramos,PF - Varejo,Showroom,BA,2022-05-11,36-45,True
800,CLI00800,Catarina Ramos,PF - Varejo,Indicação,SP,2021-09-30,26-35,True
801,CLI00801,Srta. Eduarda da Conceição,PJ - Frota Pequena,Indicação,RJ,2022-08-31,26-35,True
802,CLI00802,Maria Júlia Cirino,PF - Varejo,Digital,PR,2022-07-09,26-35,True
803,CLI00803,Gael Pacheco,PF - Varejo,Digital,SP,2022-07-18,26-35,True
804,CLI00804,Evelyn Martins,PJ - Frota Grande,Recall,PR,2021-06-19,36-45,True
805,CLI00805,Srta. Maitê Cirino,PF - Varejo,Digital,BA,2021-04-09,46-55,True
806,CLI00806,Vitória Fernandes,PF - Varejo,Digital,RJ,2021-03-14,46-55,True
807,CLI00807,Raquel Sá,PF - Premium,Digital,SP,2021-03-24,36-45,True
808,CLI00808,Davi Alves,PF - Varejo,Digital,SP,2022-09-03,46-55,True
809,CLI00809,Ana Vitória da Mota,PF - Varejo,Digital,SC,2021-07-20,26-35,True
810,CLI00810,Ísis da Costa,PF - Premium,Digital,SP,2022-10-03,46-55,True
811,CLI00811,Sra. Isabel Carvalho,PF - Varejo,Digital,PR,2023-04-01,36-45,True
812,CLI00812,Camila Aragão,PF - Premium,Digital,SP,2021-01-23,46-55,True
813,CLI00813,Sr. Anthony Cassiano,PF - Premium,Fidelização,GO,2022-11-30,46-55,True
814,CLI00814,Sabrina Gonçalves,PF - Varejo,Digital,CE,2021-06-23,36-45,True
815,CLI00815,Luara Montenegro,PF - Varejo,Fidelização,SC,2023-06-05,36-45,True
816,CLI00816,Emanuelly Vieira,PF - Varejo,Digital,GO,2021-11-10,56+,True
817,CLI00817,Stella Nascimento,PF - Varejo,Indicação,DF,2022-05-04,36-45,True
818,CLI00818,Ravi Lucca Siqueira,PF - Premium,CRM Ativo,SP,2021-10-29,36-45,True
819,CLI00819,Fernando Moraes,PF - Varejo,Digital,GO,2023-06-28,36-45,True
820,CLI00820,Emanuel Aragão,PJ - Frota Grande,Recall,RJ,2021-11-21,26-35,True
821,CLI00821,Juan das Neves,PF - Varejo,Digital,SP,2023-06-28,26-35,True
822,CLI00822,Nicolas Jesus,PF - Varejo,Showroom,RS,2021-08-09,46-55,True
823,CLI00823,Dra. Helena da Luz,PF - Varejo,Indicação,RS,2021-10-15,36-45,True
824,CLI00824,Guilherme Pacheco,PF - Varejo,Fidelização,CE,2023-05-16,36-45,True
825,CLI00825,Erick Viana,PF - Varejo,Showroom,PR,2022-05-22,46-55,True
826,CLI00826,Dr. João Guilherme Vargas,PJ - Frota Pequena,Fidelização,MG,2022-09-14,26-35,True
827,CLI00827,Eduarda Pereira,PF - Premium,Recall,BA,2022-08-05,26-35,True
828,CLI00828,Ana Laura Camargo,PF - Varejo,Fidelização,BA,2021-08-24,56+,True
829,CLI00829,Dr. Kaique Borges,PJ - Frota Pequena,Recall,RS,2022-01-29,56+,True
830,CLI00830,Kevin Fernandes,PF - Premium,Recall,SP,2021-05-02,36-45,True
831,CLI00831,Laís da Mota,PJ - Frota Pequena,Digital,SP,2023-01-24,26-35,True
832,CLI00832,Leonardo Macedo,PF - Varejo,Indicação,MG,2021-02-10,56+,True
833,CLI00833,Fernanda Cavalcanti,PF - Premium,Indicação,SP,2021-08-08,46-55,True
834,CLI00834,Kamilly Macedo,PF - Varejo,Fidelização,RS,2023-04-12,46-55,True
835,CLI00835,Isabela Câmara,PF - Varejo,Showroom,SP,2021-03-09,56+,True
836,CLI00836,Maria Liz Rezende,PF - Premium,Digital,SP,2022-05-30,26-35,True
837,CLI00837,Léo da Conceição,PF - Premium,Indicação,PR,2023-01-28,26-35,True
838,CLI00838,Antonella da Rocha,PF - Premium,Fidelização,CE,2021-10-02,46-55,True
839,CLI00839,Danilo Moreira,PF - Varejo,Indicação,BA,2022-03-04,26-35,True
840,CLI00840,Yasmin Azevedo,PF - Varejo,Indicação,SP,2022-05-09,18-25,True
841,CLI00841,Arthur Gabriel Pereira,PJ - Frota Pequena,Indicação,PR,2021-07-14,18-25,True
842,CLI00842,Antônio da Cruz,PF - Premium,Digital,SC,2021-08-05,56+,True
843,CLI00843,Brayan Porto,PF - Varejo,Fidelização,ES,2022-08-24,46-55,True
844,CLI00844,Levi Vieira,PJ - Frota Pequena,Indicação,PR,2023-04-16,18-25,True
845,CLI00845,Maria Julia Moraes,PF - Varejo,CRM Ativo,RJ,2021-09-10,46-55,True
846,CLI00846,Marina Pires,PJ - Frota Pequena,Fidelização,ES,2022-08-07,26-35,True
847,CLI00847,Raquel Martins,PF - Varejo,Digital,SP,2022-01-19,18-25,True
848,CLI00848,José Moraes,PF - Varejo,Showroom,PR,2022-05-22,26-35,True
849,CLI00849,Aurora Novais,PF - Premium,Indicação,SP,2021-09-11,46-55,True
850,CLI00850,Ian Rocha,PF - Premium,Showroom,SP,2022-11-08,46-55,True
851,CLI00851,Henrique Teixeira,PF - Premium,Recall,RS,2023-06-28,46-55,True
852,CLI00852,Dra. Kamilly da Mata,PF - Premium,Recall,ES,2021-05-27,46-55,True
853,CLI00853,Otto da Mata,PF - Varejo,Showroom,RJ,2023-02-10,26-35,True
854,CLI00854,Marcela Nogueira,PF - Premium,CRM Ativo,PE,2023-01-21,26-35,True
855,CLI00855,Isabella Abreu,PF - Premium,Indicação,ES,2022-07-07,56+,True
856,CLI00856,Vitor Gabriel Novais,PF - Premium,Fidelização,BA,2021-03-01,36-45,True
857,CLI00857,Alícia Camargo,PF - Varejo,Digital,RS,2023-01-16,36-45,True
858,CLI00858,Melissa Carvalho,PF - Varejo,CRM Ativo,SP,2021-02-14,36-45,True
859,CLI00859,Arthur Gabriel Cavalcanti,PF - Premium,Showroom,RS,2023-01-17,26-35,True
860,CLI00860,Manuela Vargas,PF - Varejo,Recall,PR,2023-01-18,26-35,True
861,CLI00861,Ravi Lucca Sá,PJ - Frota Pequena,Digital,RS,2021-09-18,46-55,True
862,CLI00862,Bryan Vargas,PF - Varejo,Indicação,CE,2023-06-22,36-45,True
863,CLI00863,Alexandre Albuquerque,PF - Premium,Fidelização,GO,2022-08-13,56+,True
864,CLI00864,Ravi Silva,PF - Premium,Digital,RJ,2022-08-15,26-35,True
865,CLI00865,Antônio Lopes,PF - Premium,Digital,PE,2021-02-05,36-45,True
866,CLI00866,Rodrigo Gomes,PF - Premium,Digital,SP,2023-05-19,18-25,True
867,CLI00867,Melissa Pimenta,PF - Varejo,Indicação,PR,2023-03-07,56+,True
868,CLI00868,Manuella da Mata,PJ - Frota Pequena,Showroom,SP,2021-06-02,46-55,True
869,CLI00869,Antony Vargas,PJ - Frota Pequena,Indicação,BA,2021-02-11,26-35,True
870,CLI00870,Valentina Aparecida,PJ - Frota Pequena,CRM Ativo,SP,2022-08-24,56+,True
871,CLI00871,Maria Clara Cavalcanti,PF - Premium,CRM Ativo,MG,2022-05-22,46-55,True
872,CLI00872,Ravi Lucca Fogaça,PF - Varejo,Digital,SP,2023-04-19,56+,True
873,CLI00873,Ravi Lucca Monteiro,PJ - Frota Pequena,Fidelização,PE,2021-08-24,18-25,True
874,CLI00874,Benicio Sousa,PF - Varejo,Indicação,SP,2021-12-11,26-35,True
875,CLI00875,Arthur Miguel Sousa,PF - Varejo,Digital,SP,2021-02-27,26-35,True
876,CLI00876,Alana Araújo,PF - Varejo,CRM Ativo,CE,2021-06-16,56+,True
